p,f,a,EB级存储,NFC支付,云计算,互联网金融,人工智能,亿级并发,信息物理系统,内存计算,分布式计算,区块链,商业智能,图像理解,图计算,多方安全计算,大数据,差分隐私技术,开放银行,异构数据,征信,投资决策辅助系统,数字货币,数据可视化,数据挖掘,文本挖掘,智能客服,智能投顾,智能数据分析,智能金融合约,机器学习,流计算,深度学习,物联网,生物识别技术,移动互联,移动支付,第三方支付,类脑计算,绿色计算,网联,股权众筹融资,自然语言处理,虚拟现实,融合架构,认知计算,语义搜索,语音识别,身份验证,量化金融
吉林省,松原市乾安县,乾安县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
吉林省,松原市前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,7,0
吉林省,松原市吉林松原经济开发区,吉林松原经济开发区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,松原市宁江区,宁江区,0,0,1,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
吉林省,松原市扶余市,扶余市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,松原市长岭县,长岭县,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
吉林省,长春市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,长春市九台区,九台区,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
吉林省,长春市二道区,二道区,0,0,7,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
吉林省,长春市公主岭市,公主岭市,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市农安县,农安县,0,0,2,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
吉林省,长春市南关区,南关区,0,0,5,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
吉林省,长春市双阳区,双阳区,0,0,3,0,1,0,0,0,0,8,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市宽城区,宽城区,0,0,5,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
吉林省,长春市德惠市,德惠市,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市朝阳区,朝阳区,0,0,3,0,6,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0
吉林省,长春市榆树市,榆树市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市绿园区,绿园区,0,0,2,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0
吉林省,长春市长春净月高新技术产业开发区,长春净月高新技术产业开发区,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
吉林省,长春市长春汽车经济技术开发区,长春汽车经济技术开发区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市长春经济技术开发区,长春经济技术开发区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,长春市长春高新技术产业开发区,长春高新技术产业开发区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,辽源市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,辽源市东丰县,东丰县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,辽源市东辽县,东辽县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,辽源市西安区,西安区,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,辽源市龙山区,龙山区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
吉林省,四平市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,四平市伊通满族自治县,伊通满族自治县,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,四平市双辽市,双辽市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,四平市梨树县,梨树县,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,四平市铁东区,铁东区,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
吉林省,四平市铁西区,铁西区,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,延边朝鲜族自治州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,延边朝鲜族自治州和龙市,和龙市,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0
吉林省,延边朝鲜族自治州图们市,图们市,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
吉林省,延边朝鲜族自治州安图县,安图县,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林省,延边朝鲜族自治州延吉市,延吉市,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
吉林省,延边朝鲜族自治州敦化市,敦化市,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
吉林省,延边朝鲜族自治州汪清县,汪清县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
吉林省,延边朝鲜族自治州珲春市,珲春市,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
吉林省,延边朝鲜族自治州龙井市,龙井市,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海市,上海市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,上海市嘉定区,嘉定区,0,0,11,2,27,3,0,0,0,9,0,0,0,0,65,0,1,0,8,0,2,4,2,0,1,0,0,0,0,1,2,30,0,0,0,1,2,0,59,0,1,5,0,0,0,0,1,3
上海市,上海市奉贤区,奉贤区,0,0,10,2,13,0,0,0,0,5,1,0,0,0,9,0,0,0,4,0,1,0,1,0,0,0,0,5,0,0,1,12,0,1,0,6,0,0,31,0,0,2,0,0,0,1,1,0
上海市,上海市宝山区,宝山区,0,0,16,1,65,0,0,0,1,35,1,0,0,0,60,0,0,0,12,0,1,2,3,0,1,0,0,0,1,4,3,14,0,3,1,3,0,0,8,0,0,7,0,7,0,2,1,0
上海市,上海市崇明区,崇明区,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
上海市,上海市徐汇区,徐汇区,0,0,19,35,134,0,0,0,3,94,0,0,0,2,42,0,4,2,3,0,19,0,3,0,3,1,1,0,4,9,7,24,0,9,1,6,0,1,12,0,6,8,0,0,0,4,4,4
上海市,上海市普陀区,普陀区,0,0,14,6,41,0,0,0,3,16,0,0,0,0,15,0,1,0,9,0,8,0,2,2,3,0,0,0,2,1,5,18,0,2,0,1,0,0,10,0,3,5,5,0,0,1,6,0
上海市,上海市杨浦区,杨浦区,0,0,28,2,43,5,0,0,0,23,0,0,0,4,26,0,0,0,9,0,2,0,1,0,1,1,0,0,1,0,3,12,0,2,0,2,0,0,10,8,0,7,0,0,0,1,1,2
上海市,上海市松江区,松江区,0,0,16,3,41,0,0,0,0,11,0,0,0,0,27,0,0,0,3,0,3,0,1,0,1,0,0,3,1,2,10,21,0,0,0,2,0,0,7,0,1,8,0,0,0,7,1,0
上海市,上海市浦东新区,浦东新区,0,0,30,23,71,0,0,0,0,87,0,0,0,1,62,0,7,0,17,0,4,1,8,0,3,0,0,0,6,13,22,40,0,12,3,7,0,0,79,0,8,8,0,0,0,2,1,2
上海市,上海市虹口区,虹口区,0,0,5,13,35,0,0,0,0,27,1,0,0,0,17,0,2,0,6,0,4,0,0,0,1,1,0,0,0,6,4,13,0,1,1,4,0,0,14,0,0,8,0,0,0,2,1,5
上海市,上海市金山区,金山区,0,0,6,1,33,0,0,0,0,9,0,0,0,0,13,0,1,0,2,0,1,0,1,0,0,2,0,0,0,0,1,5,0,0,1,2,0,0,3,4,0,2,0,0,0,1,0,0
上海市,上海市长宁区,长宁区,0,0,10,3,69,0,0,0,1,17,0,0,0,0,30,0,1,0,5,0,7,1,5,2,2,0,0,0,5,1,6,16,0,3,0,1,0,0,17,0,4,4,0,0,0,6,0,0
上海市,上海市闵行区,闵行区,0,0,18,0,26,0,0,0,0,10,0,0,0,0,21,0,0,1,2,0,3,0,2,0,0,0,0,0,6,0,4,17,0,5,10,3,0,0,10,0,0,4,0,2,0,6,0,4
上海市,上海市青浦区,青浦区,0,0,18,1,36,0,0,0,1,14,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,2,20,0,4,1,3,0,0,13,0,0,1,0,0,0,2,0,0
上海市,上海市静安区,静安区,0,0,20,10,56,0,0,0,0,59,0,0,0,0,36,0,5,0,3,0,3,1,5,0,1,0,0,0,1,7,7,15,0,2,22,4,1,0,2,0,3,4,0,2,0,0,18,2
上海市,上海市黄浦区,黄浦区,0,1,12,19,45,0,0,0,0,16,0,0,0,0,34,0,5,1,3,0,5,3,4,0,1,0,0,0,10,8,4,10,0,4,0,4,0,0,4,0,1,7,0,0,0,1,7,2
北京市,北京市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,北京市东城区,东城区,0,0,9,45,24,0,0,0,2,15,0,0,0,0,24,0,4,0,10,0,5,2,0,0,2,0,0,0,0,8,2,15,0,5,4,4,0,0,2,0,2,10,0,0,0,0,1,2
北京市,北京市丰台区,丰台区,0,0,13,9,15,5,0,0,2,14,0,0,0,0,27,0,2,0,10,0,39,1,1,0,2,0,0,0,1,5,5,24,1,7,2,7,0,0,5,0,0,6,0,0,0,5,1,2
北京市,北京市大兴区,大兴区,0,0,19,2,18,0,0,0,0,16,1,0,0,0,25,0,0,0,8,0,2,0,2,0,0,0,0,0,2,2,2,25,0,5,1,1,1,0,7,0,1,8,0,3,0,0,0,0
北京市,北京市密云区,密云区,0,0,2,0,2,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
北京市,北京市平谷区,平谷区,0,0,11,2,13,0,0,0,0,8,0,0,0,0,13,0,0,1,6,0,1,0,0,1,0,0,1,0,2,0,2,21,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
北京市,北京市延庆区,延庆区,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0
北京市,北京市怀柔区,怀柔区,0,0,4,3,12,0,0,0,0,5,1,0,0,0,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0
北京市,北京市房山区,房山区,0,0,8,6,8,0,0,0,0,7,0,0,0,0,22,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,3,13,0,1,1,0,0,0,20,0,0,2,0,0,0,1,0,0
北京市,北京市昌平区,昌平区,0,0,11,1,27,0,0,1,0,9,0,0,0,0,21,0,0,1,13,0,1,1,1,1,0,0,0,0,3,0,5,10,0,3,1,1,0,0,5,0,6,3,0,0,0,0,0,0
北京市,北京市朝阳区,朝阳区,0,4,23,18,148,0,0,0,0,106,2,0,0,0,33,0,5,0,26,0,31,1,3,0,4,0,1,0,4,10,7,40,0,13,9,6,0,3,16,0,0,20,1,2,0,2,4,2
北京市,北京市海淀区,海淀区,0,0,27,15,28,0,0,0,1,36,4,0,0,0,37,2,8,1,20,0,7,0,5,0,0,0,0,0,6,6,18,38,0,14,6,6,0,0,26,0,23,19,1,0,0,5,8,2
北京市,北京市石景山区,石景山区,0,0,16,5,30,0,0,0,1,7,1,0,0,0,21,0,0,0,10,0,3,0,1,0,3,0,0,0,0,1,4,17,0,4,1,1,0,0,5,6,1,37,0,0,0,2,0,0
北京市,北京市西城区,西城区,0,0,11,20,49,0,1,0,0,36,0,0,0,0,38,0,6,0,14,0,2,0,3,0,1,0,0,0,5,8,4,17,1,12,3,2,1,0,14,0,0,3,0,2,0,11,2,2
北京市,北京市通州区,通州区,0,0,10,19,16,0,0,0,0,7,0,0,0,0,27,0,1,0,10,0,10,0,1,0,0,0,0,0,2,2,3,14,0,1,1,0,0,0,6,0,1,5,0,3,0,1,0,0
北京市,北京市门头沟区,门头沟区,0,0,7,1,39,0,0,0,0,5,0,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,1,0,0,6,0,1,0,0,0,0,1,1,0
北京市,北京市顺义区,顺义区,0,0,13,1,14,0,0,0,0,13,1,0,0,0,16,0,0,0,8,0,1,0,0,0,0,0,0,3,0,0,3,12,0,3,0,0,0,0,26,0,0,9,0,0,0,5,1,0
甘肃省,嘉峪关市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,嘉峪关市市辖区,市辖区,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
甘肃省,甘南藏族自治州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,甘南藏族自治州临潭县,临潭县,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
甘肃省,甘南藏族自治州卓尼县,卓尼县,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
甘肃省,甘南藏族自治州合作市,合作市,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0
甘肃省,甘南藏族自治州夏河县,夏河县,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
甘肃省,甘南藏族自治州玛曲县,玛曲县,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0
